Timestamp,blocks-size
2020/1/8 23:00,257131.0675
2020/1/11 23:00,257612.9063
2020/1/14 23:00,258015.3714
2020/1/17 23:00,258509.5002
2020/1/20 23:00,258920.6354
2020/1/23 23:00,259389.0147
2020/1/26 23:00,259851.9788
2020/1/29 23:00,260277.519
2020/2/1 23:00,260754.9551
2020/2/4 23:00,261221.3729
2020/2/7 23:00,261705.1955
2020/2/10 23:00,262184.003
2020/2/13 23:00,262679.883
2020/2/16 23:00,263156.6042
2020/2/19 23:00,263618.6829
2020/2/22 23:00,264104.99
2020/2/25 23:00,264534.5439
2020/2/28 23:00,265008.0739
2020/3/2 23:00,265463.6501
2020/3/5 23:00,266009.1057
2020/3/8 23:00,266481.8689
2020/3/11 23:00,266962.8049
2020/3/14 23:00,267455.272
2020/3/17 23:00,267892.8696
2020/3/20 23:00,268300.8054
2020/3/23 23:00,268683.1545
2020/3/26 23:00,269070.9752
2020/3/30 0:00,269547.1991
2020/4/2 0:00,269982.3117
2020/4/5 0:00,270474.9042
2020/4/8 0:00,270927.8748
2020/4/11 0:00,271444.3149
2020/4/14 0:00,271838.3801
2020/4/17 0:00,272361.4871
2020/4/20 0:00,272878.2484
2020/4/23 0:00,273354.8121
2020/4/26 0:00,273856.3258
2020/4/29 0:00,274338.3178
2020/5/2 0:00,274870.013
2020/5/5 0:00,275445.3334
2020/5/8 0:00,275994.0618
2020/5/11 0:00,276537.5893
2020/5/14 0:00,277137.8854
2020/5/17 0:00,277602.1412
2020/5/20 0:00,278070.0678
2020/5/23 0:00,278545.5883
2020/5/26 0:00,279005.665
2020/5/29 0:00,279513.119
2020/6/1 0:00,280036.871
2020/6/4 0:00,280530.2674
2020/6/7 0:00,281081.7452
2020/6/10 0:00,281560.9951
2020/6/13 0:00,282182.2761
2020/6/16 0:00,282711.6062
2020/6/19 0:00,283226.9782
2020/6/22 0:00,283716.0936
2020/6/25 0:00,284223.344
2020/6/28 0:00,284773.7753
2020/7/1 0:00,285242.7035
2020/7/4 0:00,285813.2582
2020/7/7 0:00,286321.8899
2020/7/10 0:00,286877.1126
2020/7/13 0:00,287449.6809
2020/7/16 0:00,287947.8727
2020/7/19 0:00,288452.1518
2020/7/22 0:00,288974.1796
2020/7/25 0:00,289492.9193
2020/7/28 0:00,290111.5613
2020/7/31 0:00,290678.6965
2020/8/3 0:00,291227.5459
2020/8/6 0:00,291823.401
2020/8/9 0:00,292384.0871
2020/8/12 0:00,292938.9592
2020/8/15 0:00,293518.2856
2020/8/18 0:00,294095.8532
2020/8/21 0:00,294607.4089
2020/8/24 0:00,295179.7671
2020/8/27 0:00,295719.02
2020/8/30 0:00,296279.5953
