Timestamp,n-payments-per-block
2018-05-17 00:00:00,2584.7540418684157
2018-05-18 00:00:00,2599.698074026734
2018-05-19 00:00:00,2516.5500106089853
2018-05-20 00:00:00,2485.116553589814
2018-05-21 00:00:00,2495.340196875957
2018-05-22 00:00:00,2401.489251112591
2018-05-23 00:00:00,2352.276669627125
2018-05-24 00:00:00,2402.7558997218116
2018-05-25 00:00:00,2396.5392830051956
2018-05-26 00:00:00,2305.5605185264308
2018-05-27 00:00:00,2277.2772206955137
2018-05-28 00:00:00,2221.326460920059
2018-05-29 00:00:00,2206.4547127107317
2018-05-30 00:00:00,2246.956274753434
2018-05-31 00:00:00,2195.773491806283
2018-06-01 00:00:00,2143.6295533917564
2018-06-02 00:00:00,2237.1971093297943
2018-06-03 00:00:00,2277.2135508966744
2018-06-04 00:00:00,2306.689465263618
